Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
11/6/2024,"1,945.00",,,"1,945.00",0.00,0,0,0
11/5/2024,"1,945.00",,,"1,945.00",0.00,0,0,0
11/4/2024,"1,945.00",,,"1,945.00",0.00,0,0,0
11/1/2024,"1,945.00",,,"1,945.00",0.00,0,0,0
10/31/2024,"1,945.00",,,"1,945.00",0.00,0,0,0
10/30/2024,"1,945.00","1,945.00","1,945.00","1,945.00",-0.05,125,"243,125","243,125"
10/29/2024,"1,946.00","1,946.00","1,946.00","1,946.00",0.00,91,"177,086","177,086"
10/28/2024,"1,946.00","1,946.00","1,946.00","1,946.00",-2.99,110,"214,060","214,060"
10/25/2024,"2,006.00",,,"2,006.00",0.00,0,0,0
10/24/2024,"2,006.00",,,"2,006.00",0.00,0,0,0
10/22/2024,"2,006.00",,,"2,006.00",0.00,0,0,0
10/21/2024,"2,006.00",,,"2,006.00",0.00,0,0,0
10/18/2024,"2,006.00","2,006.00","2,006.00","2,006.00",0.00,3,"6,018","6,018"
10/17/2024,"2,006.00","2,006.00","2,006.00","2,006.00",3.53,6,"12,036","12,036"
10/16/2024,"1,900.00","1,946.00","1,900.00","1,937.64",-0.43,11,"21,314","21,314"
10/15/2024,"1,946.00","1,946.00","1,946.00","1,946.00",-2.99,300,"583,800","583,800"
10/14/2024,"2,006.00","2,006.00","2,006.00","2,006.00",8.43,10,"20,060","20,060"
10/10/2024,"1,850.00","1,850.00","1,850.00","1,850.00",-7.41,165,"305,250","305,250"
10/9/2024,"1,998.00","1,998.00","1,998.00","1,998.00",0.00,10,"19,980","19,980"
10/8/2024,"1,998.00","1,998.00","1,998.00","1,998.00",2.46,14,"27,972","27,972"
10/7/2024,"1,950.00",,,"1,950.00",0.00,0,0,0
10/4/2024,"1,950.00","1,950.00","1,950.00","1,950.00",0.10,16,"31,200","31,200"
10/3/2024,"1,920.00",,,"1,947.97",0.00,0,0,0
10/2/2024,"1,920.00",,,"1,947.97",0.00,0,0,0
10/1/2024,"1,920.00",,,"1,947.97",0.00,0,0,0
9/30/2024,"1,920.00",,,"1,947.97",0.00,0,0,0
9/27/2024,"1,920.00",,,"1,947.97",0.00,0,0,0
9/26/2024,"1,920.00",,,"1,947.97",0.00,0,0,0
9/25/2024,"1,920.00","1,972.00","1,920.00","1,947.97",-1.22,760,"1,480,460","1,480,460"
9/24/2024,"1,972.00","1,972.00","1,972.00","1,972.00",6.71,20,"39,440","39,440"
9/23/2024,"1,848.00","1,848.00","1,848.00","1,848.00",2.98,57,"105,336","105,336"
9/20/2024,"1,800.00",,,"1,794.52",0.00,0,0,0
9/19/2024,"1,800.00",,,"1,794.52",0.00,0,0,0
9/18/2024,"1,800.00","1,800.00","1,790.00","1,794.52",3.31,73,"131,000","131,000"
9/17/2024,"1,790.00","1,790.00","1,721.00","1,737.05",-0.46,43,"74,693","74,693"
9/16/2024,"1,741.00",,,"1,745.10",0.00,0,0,0
9/13/2024,"1,741.00","1,780.00","1,731.00","1,745.10",1.46,"1,423","2,483,271","2,483,271"
9/12/2024,"1,720.00","1,720.00","1,720.00","1,720.00",0.00,25,"43,000","43,000"
9/11/2024,"1,720.00",,,"1,720.00",0.00,0,0,0
9/10/2024,"1,720.00","1,720.00","1,720.00","1,720.00",-1.21,221,"380,120","380,120"
9/6/2024,"1,741.00",,,"1,741.00",0.00,0,0,0
9/5/2024,"1,741.00","1,741.00","1,741.00","1,741.00",0.00,10,"17,410","17,410"
9/4/2024,"1,741.00",,,"1,741.00",0.00,0,0,0
9/3/2024,"1,741.00",,,"1,741.00",0.00,0,0,0
9/2/2024,"1,741.00",,,"1,741.00",0.00,0,0,0
8/30/2024,"1,741.00","1,741.00","1,741.00","1,741.00",-2.19,206,"358,646","358,646"
8/29/2024,"1,780.00","1,780.00","1,780.00","1,780.00",0.32,100,"178,000","178,000"
8/27/2024,"1,760.00","1,781.00","1,760.00","1,774.32",2.56,88,"156,140","156,140"
8/26/2024,"1,730.00",,,"1,730.00",0.00,0,0,0
8/23/2024,"1,730.00","1,730.00","1,730.00","1,730.00",0.11,154,"266,420","266,420"
8/22/2024,"1,739.00","1,739.00","1,691.00","1,728.13",2.20,53,"91,591","91,591"
8/21/2024,"1,691.00","1,691.00","1,691.00","1,691.00",0.00,349,"590,159","590,159"
8/20/2024,"1,691.00","1,691.00","1,691.00","1,691.00",5.42,11,"18,601","18,601"
8/19/2024,"1,604.00",,,"1,604.00",0.00,0,0,0
8/16/2024,"1,604.00","1,604.00","1,604.00","1,604.00",0.25,31,"49,724","49,724"
8/15/2024,"1,600.00",,,"1,600.00",0.00,0,0,0
8/14/2024,"1,600.00","1,600.00","1,600.00","1,600.00",-2.56,500,"800,000","800,000"
8/13/2024,"1,642.00","1,642.00","1,642.00","1,642.00",-2.96,21,"34,482","34,482"
8/12/2024,"1,692.00","1,692.00","1,692.00","1,692.00",-2.98,14,"23,688","23,688"
8/9/2024,"1,744.00","1,744.00","1,744.00","1,744.00",-0.11,6,"10,464","10,464"
8/8/2024,"1,746.00",,,"1,746.00",0.00,0,0,"2,390,274"
8/7/2024,"1,746.00","1,746.00","1,746.00","1,746.00",-3.00,40,"69,840","69,840"
8/6/2024,"1,800.00",,,"1,800.00",0.00,0,0,0
8/5/2024,"1,800.00",,,"1,800.00",0.00,0,0,0
8/1/2024,"1,800.00","1,800.00","1,800.00","1,800.00",-1.80,20,"36,000","36,000"
7/31/2024,"1,833.00","1,833.00","1,833.00","1,833.00",-2.96,110,"201,630","201,630"
7/30/2024,"1,889.00","1,889.00","1,889.00","1,889.00",8.45,10,"18,890","18,890"
7/29/2024,"1,749.00","1,749.00","1,640.00","1,741.88",6.21,153,"266,507","266,507"
7/26/2024,"1,640.00","1,640.00","1,640.00","1,640.00",2.50,10,"16,400","16,400"
7/25/2024,"1,600.00","1,600.00","1,600.00","1,600.00",1.24,75,"120,000","120,000"
7/24/2024,"1,590.00","1,590.00","1,580.00","1,580.38",-1.23,104,"164,360","164,360"
7/23/2024,"1,600.00","1,600.00","1,600.00","1,600.00",0.02,59,"94,400","94,400"
7/22/2024,"1,600.00","1,600.00","1,599.00","1,599.75",-0.01,200,"319,950","319,950"
7/19/2024,"1,600.00","1,600.00","1,599.00","1,599.92",0.00,416,"665,568","665,568"
7/18/2024,"1,600.00","1,600.00","1,600.00","1,600.00",3.23,50,"80,000","80,000"
7/17/2024,"1,550.00","1,550.00","1,550.00","1,550.00",1.71,38,"58,900","58,900"
7/16/2024,"1,524.00",,,"1,524.00",0.00,0,0,"2,612,200"
7/15/2024,"1,524.00",,,"1,524.00",0.00,0,0,"6,292,960"
7/12/2024,"1,524.00",,,"1,524.00",0.00,0,0,0
