Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
07.11.2024,"39,00",,,"39,00","0,00",0,0,0
06.11.2024,"39,00",,,"39,00","0,00",0,0,0
05.11.2024,"39,00",,,"39,00","0,00",0,0,0
04.11.2024,"39,00",,,"39,00","0,00",0,0,0
01.11.2024,"39,00",,,"39,00","0,00",0,0,0
31.10.2024,"39,00",,,"39,00","0,00",0,0,0
30.10.2024,"39,00",,,"39,00","0,00",0,0,0
29.10.2024,"39,00",,,"39,00","0,00",0,0,0
28.10.2024,"39,00",,,"39,00","0,00",0,0,0
25.10.2024,"39,00",,,"39,00","0,00",0,0,0
24.10.2024,"39,00",,,"39,00","0,00",0,0,0
22.10.2024,"39,00",,,"39,00","0,00",0,0,0
21.10.2024,"39,00",,,"39,00","0,00",0,0,0
18.10.2024,"39,00",,,"39,00","0,00",0,0,0
17.10.2024,"39,00",,,"39,00","0,00",0,0,0
16.10.2024,"39,00",,,"39,00","0,00",0,0,0
15.10.2024,"39,00",,,"39,00","0,00",0,0,0
14.10.2024,"39,00",,,"39,00","0,00",0,0,0
10.10.2024,"39,00",,,"39,00","0,00",0,0,0
09.10.2024,"39,00",,,"39,00","0,00",0,0,0
08.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.10.2024,"39,00",,,"39,00","0,00",0,0,0
04.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.11.2024,"39,00",,,"39,00","0,00",0,0,0
06.11.2024,"39,00",,,"39,00","0,00",0,0,0
05.11.2024,"39,00",,,"39,00","0,00",0,0,0
04.11.2024,"39,00",,,"39,00","0,00",0,0,0
01.11.2024,"39,00",,,"39,00","0,00",0,0,0
31.10.2024,"39,00",,,"39,00","0,00",0,0,0
30.10.2024,"39,00",,,"39,00","0,00",0,0,0
29.10.2024,"39,00",,,"39,00","0,00",0,0,0
28.10.2024,"39,00",,,"39,00","0,00",0,0,0
25.10.2024,"39,00",,,"39,00","0,00",0,0,0
24.10.2024,"39,00",,,"39,00","0,00",0,0,0
22.10.2024,"39,00",,,"39,00","0,00",0,0,0
21.10.2024,"39,00",,,"39,00","0,00",0,0,0
18.10.2024,"39,00",,,"39,00","0,00",0,0,0
17.10.2024,"39,00",,,"39,00","0,00",0,0,0
16.10.2024,"39,00",,,"39,00","0,00",0,0,0
15.10.2024,"39,00",,,"39,00","0,00",0,0,0
14.10.2024,"39,00",,,"39,00","0,00",0,0,0
10.10.2024,"39,00",,,"39,00","0,00",0,0,0
09.10.2024,"39,00",,,"39,00","0,00",0,0,0
08.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.10.2024,"39,00",,,"39,00","0,00",0,0,0
04.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.11.2024,"39,00",,,"39,00","0,00",0,0,0
06.11.2024,"39,00",,,"39,00","0,00",0,0,0
05.11.2024,"39,00",,,"39,00","0,00",0,0,0
04.11.2024,"39,00",,,"39,00","0,00",0,0,0
01.11.2024,"39,00",,,"39,00","0,00",0,0,0
31.10.2024,"39,00",,,"39,00","0,00",0,0,0
30.10.2024,"39,00",,,"39,00","0,00",0,0,0
29.10.2024,"39,00",,,"39,00","0,00",0,0,0
28.10.2024,"39,00",,,"39,00","0,00",0,0,0
25.10.2024,"39,00",,,"39,00","0,00",0,0,0
24.10.2024,"39,00",,,"39,00","0,00",0,0,0
22.10.2024,"39,00",,,"39,00","0,00",0,0,0
21.10.2024,"39,00",,,"39,00","0,00",0,0,0
18.10.2024,"39,00",,,"39,00","0,00",0,0,0
17.10.2024,"39,00",,,"39,00","0,00",0,0,0
16.10.2024,"39,00",,,"39,00","0,00",0,0,0
15.10.2024,"39,00",,,"39,00","0,00",0,0,0
14.10.2024,"39,00",,,"39,00","0,00",0,0,0
10.10.2024,"39,00",,,"39,00","0,00",0,0,0
09.10.2024,"39,00",,,"39,00","0,00",0,0,0
08.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.10.2024,"39,00",,,"39,00","0,00",0,0,0
04.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.11.2024,"39,00",,,"39,00","0,00",0,0,0
06.11.2024,"39,00",,,"39,00","0,00",0,0,0
05.11.2024,"39,00",,,"39,00","0,00",0,0,0
04.11.2024,"39,00",,,"39,00","0,00",0,0,0
01.11.2024,"39,00",,,"39,00","0,00",0,0,0
31.10.2024,"39,00",,,"39,00","0,00",0,0,0
30.10.2024,"39,00",,,"39,00","0,00",0,0,0
29.10.2024,"39,00",,,"39,00","0,00",0,0,0
28.10.2024,"39,00",,,"39,00","0,00",0,0,0
25.10.2024,"39,00",,,"39,00","0,00",0,0,0
24.10.2024,"39,00",,,"39,00","0,00",0,0,0
22.10.2024,"39,00",,,"39,00","0,00",0,0,0
21.10.2024,"39,00",,,"39,00","0,00",0,0,0
18.10.2024,"39,00",,,"39,00","0,00",0,0,0
17.10.2024,"39,00",,,"39,00","0,00",0,0,0
16.10.2024,"39,00",,,"39,00","0,00",0,0,0
15.10.2024,"39,00",,,"39,00","0,00",0,0,0
14.10.2024,"39,00",,,"39,00","0,00",0,0,0
10.10.2024,"39,00",,,"39,00","0,00",0,0,0
09.10.2024,"39,00",,,"39,00","0,00",0,0,0
08.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.10.2024,"39,00",,,"39,00","0,00",0,0,0
04.10.2024,"39,00",,,"39,00","0,00",0,0,0
07.11.2024,"39,00",,,"39,00","0,00",0,0,0
06.11.2024,"39,00",,,"39,00","0,00",0,0,0
05.11.2024,"39,00",,,"39,00","0,00",0,0,0
04.11.2024,"39,00",,,"39,00","0,00",0,0,0
01.11.2024,"39,00",,,"39,00","0,00",0,0,0
31.10.2024,"39,00",,,"39,00","0,00",0,0,0
30.10.2024,"39,00",,,"39,00","0,00",0,0,0
29.10.2024,"39,00",,,"39,00","0,00",0,0,0
28.10.2024,"39,00",,,"39,00","0,00",0,0,0
25.10.2024,"39,00",,,"39,00","0,00",0,0,0
